sample_id,timepoint,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10
sample_1,0.25,0.48834768930431016,0.0,0.0,0.014759296442433012,0.026280544209978718,0.0,0.0,0.01059867499371343,0.03278809758988387,0.0
sample_1,0.75,0.5482624401047929,0.0,0.03636258905606892,0.002849953268733753,0.03876726598143437,0.02058806866481659,0.07595638196131112,0.0020629072152154315,0.09376894975940053,0.09461038118927129
sample_1,1.5,0.5483327623350793,0.17490371656281584,0.1763620334698362,0.1253624316228872,0.24444260553215327,0.10591589568317669,0.16781228759979824,0.14296708709084138,0.14989907703927746,0.1249438436555507
sample_1,2.5,0.6242135612749624,0.632083015842819,0.550795100623831,0.5053521854427969,0.7470574856792502,0.3572185350761685,0.7245940455729007,0.6016671671219161,0.6827749443455846,0.33507586539436207
sample_1,4.0,0.7391148898045502,1.0949791543738028,0.9640153816242517,1.0297927203901143,1.143022843185974,0.7616977532914829,1.1287886873553714,1.1578526185582099,1.019241197979098,0.6511650115987996
sample_1,6.0,0.6899874734730044,0.9189518328722974,0.8080377712690854,0.9320799877719281,1.0414116044875317,0.6358683551653163,1.0355089697458808,1.083856968243012,0.9707356052389317,0.6450697752039891
sample_1,8.0,0.5081098177701768,0.768346916814962,0.6225618313282992,0.7993137953024538,0.8383309672849089,0.5814752659265965,0.7942256318560968,0.8500075021873207,0.8480101800377774,0.6210921233913074
sample_1,10.0,0.45109513129784296,0.6335675960971134,0.515702738079706,0.6540876581869305,0.7216680689643773,0.45634040201725057,0.6746335522296003,0.7363143629233883,0.6453647850082053,0.4258445113418626
sample_2,0.25,0.5398544871533635,0.04428354766384019,0.0,0.027983835821907964,0.0,0.022803073679604217,0.0,0.0007116214323016398,0.0,0.006674960327380917
sample_2,0.75,0.49991863496411987,0.07264645385798069,0.0257085948831721,0.049292495999483835,0.07434908905066794,0.0,0.042705436256920574,0.007502471830644201,0.06489212969128369,0.03399731054920691
sample_2,1.5,0.533549628691121,0.19983042386986943,0.1883510633194807,0.12266110971112199,0.24743799921722667,0.07778951913812157,0.19798847744472356,0.11315461943344422,0.12407622658526077,0.09134610669699764
sample_2,2.5,0.6159520857789741,0.6059604752870854,0.5087234411161512,0.570766662578012,0.7756209829101738,0.3145238791961887,0.629678352825288,0.5944233669293315,0.6380261428362521,0.4191150239128685
sample_2,4.0,0.7382582644474014,1.0835232526039498,0.9841737371525823,1.0422903269343682,1.1039511707061962,0.7376648462126529,1.1949451450111939,1.117389362812219,1.1289689507420189,0.7035902195921127
sample_2,6.0,0.6482406865422071,0.9923446236938057,0.8077268095630983,0.9229387899824334,1.0492774162733542,0.6485797511726861,1.0004617889429626,1.1022064170446813,0.9903375189001983,0.6679492398226655
sample_2,8.0,0.5714076578600266,0.7972543639678809,0.6902603933624297,0.8148384301517397,0.8561363063162928,0.4978005271554233,0.8493790057731111,0.8531282453109089,0.830003914596947,0.5864618148310817
sample_2,10.0,0.48257377521082867,0.6933874207045252,0.5394021564862361,0.686975830274454,0.6924130789889853,0.4674862779085756,0.6858319318774517,0.7405098322673486,0.6521812183936697,0.45025333420352537
sample_3,0.25,0.47687691583242325,0.07062215143987965,0.0,0.0,0.0,0.023421095853039076,0.0,0.0,0.0,0.023619895990829105
sample_3,0.75,0.45704536733770496,0.024583444745886,0.03842525017931478,0.03564884193227915,0.0802807061191524,0.028666988809921596,0.048965304485358636,0.029915378640471814,0.07602229373087852,0.06343787741511477
sample_3,1.5,0.47556866515793217,0.18594945405361354,0.1663892399863645,0.13259528260709721,0.28363363225283666,0.09012290272891198,0.20111698628863747,0.09917179787607154,0.16622951236944103,0.13913289752264946
sample_3,2.5,0.616251810861386,0.6666561336436538,0.5348806545937581,0.5075774420608852,0.7467817740963562,0.37031408598389975,0.7604356121758978,0.5431806540109803,0.664982581517273,0.41217242105292673
sample_3,4.0,0.6977483446027054,1.0959049393065865,0.9324096191662972,1.0483416051769525,1.1704592587339175,0.7483862227317409,1.1250429346663462,1.1302756963440928,1.0333684873820486,0.7413342870849889
sample_3,6.0,0.6916251587433444,0.8934912997969837,0.788230810406477,0.9208433720924463,0.9638057394996999,0.7744523462772172,1.0060035078382845,1.063830219910181,0.9231021567512118,0.6214807858755531
sample_3,8.0,0.5275677060763654,0.7600422252452456,0.633492436302288,0.7266807893322663,0.8848282660586341,0.5338793988019106,0.8592217725352418,0.8432012043510848,0.77692032030654,0.5857292117360211
sample_3,10.0,0.4706557459592459,0.6158560322069596,0.48124475737437356,0.6332711963049276,0.7683370530998537,0.47642827027923773,0.7275850826405179,0.7065307959250533,0.6647084776309862,0.4557233514193684
