region,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10
r1,0.0,0.4933821351715624,0.7139532517229706,0.3584772869942696,0.7348338655931914,0.3266198459839709,0.5961766043932265,0.18164916759493271,0.5518701988070455,0.8479586222883388
r2,0.4933821351715624,0.0,0.3297050667882612,0.5785050498893738,0.22988190149717497,0.6880444668116668,0.5614087391936757,0.7297646563959621,0.7586552178395419,0.6877406542226325
r3,0.7139532517229706,0.3297050667882612,0.0,0.45679854556171506,0.2409065871223438,0.818382312852203,0.5915532756009101,0.7281680383517548,0.5663024662699059,0.2928685367353769
r4,0.3584772869942696,0.5785050498893738,0.45679854556171506,0.0,0.42780748898040716,0.14303894357218594,0.47411642690954164,0.4130061464042836,0.12500073024876984,0.48442497853084987
r5,0.7348338655931914,0.22988190149717497,0.2409065871223438,0.42780748898040716,0.0,0.6319829852699153,0.8060876227109632,0.3529203035011607,0.2697610758883063,0.22772411695265654
r6,0.3266198459839709,0.6880444668116668,0.818382312852203,0.14303894357218594,0.6319829852699153,0.0,0.6245783462282029,0.7898996286551081,0.286123065170672,0.5002579418716366
r7,0.5961766043932265,0.5614087391936757,0.5915532756009101,0.47411642690954164,0.8060876227109632,0.6245783462282029,0.0,0.6333844551555914,0.16601573524883423,0.6212033777843867
r8,0.18164916759493271,0.7297646563959621,0.7281680383517548,0.4130061464042836,0.3529203035011607,0.7898996286551081,0.6333844551555914,0.0,0.3938272428201835,0.5577611787808794
r9,0.5518701988070455,0.7586552178395419,0.5663024662699059,0.12500073024876984,0.2697610758883063,0.286123065170672,0.16601573524883423,0.3938272428201835,0.0,0.589855582089009
r10,0.8479586222883388,0.6877406542226325,0.2928685367353769,0.48442497853084987,0.22772411695265654,0.5002579418716366,0.6212033777843867,0.5577611787808794,0.589855582089009,0.0
